week	contrast	untrained_pct	untrained_trials	trials	correct_pct	mean_rt_ms	sessions	week_shortfall	level	days_practised	minutes
2026-W37	-ed	100.0	3	3	100.0	2282	1	0	1	1	13.3
2026-W37	b/v	100.0	1	1	100.0	7300	1	0	1	1	13.3
2026-W37	cat/cut	100.0	3	3	100.0	2354	1	0	1	1	13.3
2026-W37	er/or	100.0	1	1	100.0	1388	1	0	1	1	13.3
2026-W37	h	100.0	2	2	100.0	2823	1	0	1	1	13.3
2026-W37	i/ii	66.7	12	12	66.7	2690	1	0	1	1	13.3
2026-W37	j/y	100.0	3	3	100.0	15735	1	0	1	1	13.3
2026-W37	long-back	100.0	2	2	100.0	4778	1	0	1	1	13.3
2026-W37	s/z	44.4	18	20	50.0	2523	2	0	1	1	13.3
2026-W37	schwa	100.0	7	7	100.0	2226	1	0	1	1	13.3
2026-W37	sh/ch	100.0	2	2	100.0	2354	1	0	1	1	13.3
2026-W37	th	95.7	23	24	95.8	2922	2	0	1	1	13.3
2026-W38	-ed	100.0	3	3	100.0	3087	1	6	1	2	10.6
2026-W38	b/v	100.0	3	6	66.7	4728	2	6	1	2	10.6
2026-W38	cat/cut	75.0	4	6	83.3	4239	2	6	1	2	10.6
2026-W38	er/or	100.0	2	2	100.0	3676	1	6	1	2	10.6
2026-W38	h	100.0	3	3	100.0	2869	2	6	1	2	10.6
2026-W38	i/ii	66.7	9	20	65.0	3233	2	6	1	2	10.6
2026-W38	j/y		0	4	75.0	2542	2	6	1	2	10.6
2026-W38	long-back	100.0	2	4	75.0	3008	2	6	1	2	10.6
2026-W38	s/z	70.0	10	15	60.0	2768	2	6	1	2	10.6
2026-W38	schwa		0	7	100.0	2117	2	6	1	2	10.6
2026-W38	sh/ch	50.0	2	3	66.7	1969	2	6	1	2	10.6
2026-W38	th	100.0	7	7	100.0	2714	2	6	2	2	10.6
